Position,Name,Year,LetterboxdURI,Description
1,Spirited Away,2001,https://boxd.it/2b4m,
2,Alien,1979,https://boxd.it/2awY,
3,Anne of Green Gables,1985,https://boxd.it/IIQM,
4,Perfect Blue,1997,https://boxd.it/1W7A,
5,The Thing,1982,https://boxd.it/294O,
6,Chinatown,1974,https://boxd.it/29vU,
7,Fargo,1996,https://boxd.it/2aHM,
8,Blade Runner,1982,https://boxd.it/2bcA,
9,Cool Hand Luke,1967,https://boxd.it/29jY,
10,Ran,1985,https://boxd.it/1Tlu,
11,No Country for Old Men,2007,https://boxd.it/21ew,
12,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,
13,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
14,Roma,2018,https://boxd.it/f69M,
15,Apocalypse Now,1979,https://boxd.it/6ZS,
16,Raging Bull,1980,https://boxd.it/28yI,
17,Come and See,1985,https://boxd.it/1w9q,
18,The Apartment,1960,https://boxd.it/2aGE,
19,Drive My Car,2021,https://boxd.it/sv94,
20,Stalker,1979,https://boxd.it/28PO,
21,Once Upon a Time in the West,1968,https://boxd.it/2az4,
22,After Yang,2021,https://boxd.it/lx5a,
23,Chernobyl,2019,https://boxd.it/mkbG,
24,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,
25,The Wolf House,2018,https://boxd.it/i1vE,
26,The Silence of the Lambs,1991,https://boxd.it/2aHW,
27,On the Waterfront,1954,https://boxd.it/29TC,
28,Bo Burnham: Inside,2021,https://boxd.it/v2uy,
29,Some Like It Hot,1959,https://boxd.it/2aNA,
30,Blade Runner 2049,2017,https://boxd.it/b8wK,
31,La Haine,1995,https://boxd.it/2as8,
32,A Fish Called Wanda,1988,https://boxd.it/29YC,
33,Kill It and Leave This Town,2020,https://boxd.it/oJtY,
34,Harvey,1950,https://boxd.it/1T5w,
35,The Sting,1973,https://boxd.it/1Z5s,
36,Gett: The Trial of Viviane Amsalem,2014,https://boxd.it/87Lo,
37,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
38,The Social Network,2010,https://boxd.it/17ue,
39,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,
40,Modern Times,1936,https://boxd.it/25MC,
41,Persona,1966,https://boxd.it/29B4,
42,Lilo & Stitch,2002,https://boxd.it/1TAY,
43,The Fly,1986,https://boxd.it/1YIe,
44,Eraserhead,1977,https://boxd.it/299u,
45,A Brighter Summer Day,1991,https://boxd.it/1Luy,
46,M,1931,https://boxd.it/29vq,
47,Ashes and Diamonds,1958,https://boxd.it/23q0,
48,Ace in the Hole,1951,https://boxd.it/1vXk,
49,Jackie Brown,1997,https://boxd.it/2aVO,
50,It Happened One Night,1934,https://boxd.it/25Ng,
51,Amadeus,1984,https://boxd.it/2aH8,
52,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
53,Sherlock Jr.,1924,https://boxd.it/298m,
54,Die Hard,1988,https://boxd.it/2a7u,
55,Mulholland Drive,2001,https://boxd.it/297o,
56,Liz and the Blue Bird,2018,https://boxd.it/hksW,
57,Wolfwalkers,2020,https://boxd.it/fGrC,
58,The Music Room,1958,https://boxd.it/29x2,
59,The Evil Dead,1981,https://boxd.it/29Go,
60,Paprika,2006,https://boxd.it/23wW,
61,Ratatouille,2007,https://boxd.it/27ww,
62,Jurassic Park,1993,https://boxd.it/2aA2,
63,Big Trouble in Little China,1986,https://boxd.it/21em,
64,Jaws,1975,https://boxd.it/2a5e,
65,Predator,1987,https://boxd.it/2b84,
66,The Deer Hunter,1978,https://boxd.it/1T6O,
67,Monster,2003,https://boxd.it/2afy,
68,The Bourne Identity,2002,https://boxd.it/26EO,
69,Princess Mononoke,1997,https://boxd.it/2b4w,
70,Akira,1988,https://boxd.it/2b1i,5.0 star threshold ( 4%)
71,Groundhog Day,1993,https://boxd.it/2b3e,
72,Reservoir Dogs,1992,https://boxd.it/2agc,
73,The Wicker Man,1973,https://boxd.it/1KnG,
74,Once Upon a Time in Anatolia,2011,https://boxd.it/2yHG,
75,RoboCop,1987,https://boxd.it/22Wu,
76,The Night of the Hunter,1955,https://boxd.it/25HW,
77,Lady Snowblood,1973,https://boxd.it/26Fi,
78,Evil Dead II,1987,https://boxd.it/29Ge,
